"","text","score","klasifikasi"
"383"," last word stands   reece james  england fails southgate will stand    time  ",-1,"Negatif"
"384","gareth southgatedoes   wants regardless   anyone else thinks form ha",0,"Netral"
"385","southgate starting mount sterling  maguire",0,"Netral"
"386","gareth southgate rang reece james  deliver  news  person telling     afford  take  risk ",0,"Netral"
"387","sadly  dont rate southgate   words",-1,"Negatif"
"388","chelsea star reece james given devastating news  gareth southgate calls   say england world cup dream  ove",-1,"Negatif"
"389"," squad  reckon southgate will choose    want",0,"Netral"
"390","southgate   bum",-1,"Negatif"
"391","knows nowt similar   southgate will pick though    form favourites doomed   squad ",-1,"Negatif"
"392","southgate   gigantic ego    think  sits  pontificating  random shite   nothi",0,"Netral"
"393","exliverpool man says united outcast   big problem  gareth southgate",-2,"Negatif"
"394","shouldnt    near  england set  another   form player  hardly played  part   southgate click",0,"Netral"
"395"," southgate dont pick  ill put  st georges park  smack  ",-1,"Negatif"
"396","southgate   rock   qatar withdefensive players",0,"Netral"
"397"," feeling good   world cupi know  aint coming home  time southgate dont like subs even tho ",2,"Positif"
"398","hes just  clueless  southgate  nowilsonnotice  hes picked tre",-1,"Negatif"
"399","gonma get group staged   know southgate  gonna play  backso whats  actual point   lineup",0,"Netral"
"400"," greatest thing southgate  done   career",1,"Positif"
"401","btw   like  think tarkowski       tight  maguire might go   southgate",1,"Positif"
"402"," southgate tell   shutup",0,"Netral"
"403","countdowndays   firstmatchanderson rings gareth southgate ",0,"Netral"
"404"," medical team confirmed  reece   chance   okay   period ofweeks southgate say",0,"Netral"
"405","good move  southgate reece really need  take  time  recover   injury  need  rush  gods wi",1,"Positif"
"406","hope southgate used  words nothing personal",0,"Netral"
"407","wakes  us  know southgate  shite    shite",0,"Netral"
"408"," dont see  either      southgate    trent",0,"Netral"
"409","  southgate talking  pulisic   first place",0,"Netral"
"410","thank  southgate   saving  young career",1,"Positif"
"411","  literally playing quality  lb  year   playing    aint saying  shou",0,"Netral"
"412"," southgate thats ",0,"Netral"
"413","   say maddison doesnt get picked    casino incidenthe got sent home   fa  didnt p",0,"Netral"
"414","think thats pretty much spot   mate canunfortunately see  taking kalvin phillips inst",1,"Positif"
"415","england arent winning shit  southgate",0,"Netral"
"416"," say southgates england  better   reached  semi  final    really think sweden",1,"Positif"
"417","first time im agreeing w southgate hes saved reece future",0,"Netral"
"418","luxury antiaging skincare",1,"Positif"
"419","far  many attacking players southgate wont pick maddison  wilson",0,"Netral"
"420","reece james didnt get called  maybe      feel underrating trent  become  trend rj  undo",0,"Netral"
"421"," treatment  james maddison  southgate  proper grim lol   grounds  mount deserve  go instead",0,"Netral"
"422","reckon england dont get past round ofsouthgate wont  able  replicate  euros  ",0,"Netral"
"423","jamie just like southgate picking  old players  imagenationdrop shawphillipsrashfordsterlinggrealish",1,"Positif"
"424","problem  southgate   coach   long   continously failed  produce results  needs  boot",-2,"Negatif"
"425","  great news  doubt england will even make    group  southgate   helm",0,"Netral"
"426","ye   ga  realistic u already know southgate picking maguire",1,"Positif"
"427","picking players based  reputation rather  form    anything    southgate  fuck ",0,"Netral"
"428","predicting southgatesgk pickford pope ramsdaledef trent trippier walker white stones maguire coad",0,"Netral"
"429"," southgate doesnt pick madders walahi hes crazy",-1,"Negatif"
"430","thank  southgatefirst good thing uve done",2,"Positif"
"431","reece james   given  devastating news  england boss gareth southgate   world cup dream  ",-1,"Negatif"
"432","conte rn   exact   southgate",0,"Netral"
"433","southgate tells reece james  england world cup dream  ",0,"Netral"
"434","deschamps tite  every  elite international manager   favourites regardless   ",1,"Positif"
"435","coady  shaw   backeven coady  maguire  southgate aint  ",0,"Netral"
"436","  insists   english bias    go  cant startmid english players ",-1,"Negatif"
"437","england need  many penalty takers   squad  possible toney  wilson must    team",-1,"Negatif"
"438"," james madison doesnt go   world cup  southgate doesnt win   shouldnt   manager next tournament",1,"Positif"
"439","southgate     weekend   watching  game  dont remember jwp  anything  th",0,"Netral"
"440","  watched arsenal  like white   cant see  playing wingback ",1,"Positif"
"441"," love garett southgate",1,"Positif"
"442","literally gareth southgate",0,"Netral"
"443","southgate preparing  make  selections",0,"Netral"
"444","even    dont think  win  world cup  southgate   helm ye aren",1,"Positif"
"445","great player   ridiculous decision  included   squad going   world cup  wouldnt  su",0,"Netral"
"446","protect  star boy southgate  getting knocked  anyway",1,"Positif"
"447","hes  going southgate  apparently decided   worth  risk",0,"Netral"
"448","probably  best decision southgate  ever made reece going   wc  rushing back wouldve ended  one ",1,"Positif"
"449"," wouldve  pointless anyway   getting knocked  early  southgate  getting  sack finally",-2,"Negatif"
"450","lets   right    reason southgate doesnt like maddison   called  ",2,"Positif"
"451"," sure   true  reece james  told  southgate   wont  going   world cup  ",0,"Netral"
"452"," disagree  important southgate takes players based    profiles  playing styles even   picke",0,"Netral"
"453"," many forwards southgate will drop atleastof   bring incbs instead",0,"Netral"
"454","smalldini   good southgate  call  ",1,"Positif"
"455"," just  lol dont hide     racist episodes  unfortunately  us witnessed",-2,"Negatif"
"456","southgate   calling  ",0,"Netral"
"457","   bit   carnage daygillingham upset  odds  beat brentford",-2,"Negatif"
"458","hes injured shame     southgate  picking  besties  can rest ",-1,"Negatif"
"459","gutting  reece     looks like southgate  used  head   understood  rushing  back c",1,"Positif"
"460","    southgate even mentions  team",0,"Netral"
"461","ramdale isnt needed  southgate plays haram footy",0,"Netral"
"462"," irony  many  called called supporters talking  southgate  negative  writing negative",-3,"Negatif"
"463","reece james   told   will   going  theworld cup  gareth southgatecome back stronger",1,"Positif"
"464","lol mount  european experience   won pretty big things something maddison hasnt done southgate always ch",2,"Positif"
"465","southgate probably gonna flopgrealish hadswear  man just  make  squad   peak",0,"Netral"
"466","southgate   worst manager itw",-1,"Negatif"
"467","dear sir southgate  swear   dont call ben blanco    wc",0,"Netral"
"468","icl ur defense  shit rn   southgate playing shaw maguire stones trent",-1,"Negatif"
"469","  love   like  said  southgate picks     complain  yes   one  englands best players",2,"Positif"
"470","welcome support  enfield borough  across  ukhouseholds  enfield borough will receive second cost",2,"Positif"
"471"," disrespect   think southgate  taken england  far   probably can  hes absolutely progressed th",-1,"Negatif"
"472","id rather gareth southgate play  midfield instead  anyone   takes   wc  isnt maddison ngl just take   play  ffs",0,"Netral"
"473","diermaguire grealish trent  dogshit   moment liabilities   themtoney  investigation s",0,"Netral"
"474","southgate wishes  hadharry maguires",0,"Netral"
"475","thats itsouthgate  usmnt managerlol",0,"Netral"
"476","thank god southgate   brain",1,"Positif"
"477","southgate  decided   take reece james   world cup",0,"Netral"
"478"," form abraham  sterling   doubts    shocking  far  season",-2,"Negatif"
"479","southgate  rubbish well  lucky  progress past  group stage  paper   destro",2,"Positif"
"480"," hope southgate   paying  attention  pope     distribution   fine",1,"Positif"
"481","potter  southgate  two cheeks    bum",-1,"Negatif"
"482","    repping  country  southgate tbf",0,"Netral"
"483","southgate  know     ready",1,"Positif"
"484","give southgate  knighthood  ayear extension",0,"Netral"
"485","declin rice ward prowse henderson  wouldnt pick    injuries   southgate picks     complain",-1,"Negatif"
"486","southgate merged  wood green  latest constituency proposals",0,"Netral"
"487","best thing southgate  done  england manager",1,"Positif"
"488","page  missing    sheffield united job inso  gareth southgate wales v england  living  s",0,"Netral"
"489","england manager gareth southgate  decided   take  gamble  taking chelseas reece james  thewor",0,"Netral"
"490","honestly  know reece  gutted  miss  world cup however id like  see  use  time  fully heal tr",1,"Positif"
"491","  see  trent white stones trippier backsouthgate deserves  knighthood",0,"Netral"
"492","england manager gareth southgate  decided   take  gamble  taking chelseas reece james  ",0,"Netral"
"493","chuba akpom   part  gareth southgates world cup squad",0,"Netral"
"494","within  gareth southgate  spoken   injured players kyle walker kalvin phillips  reece james posi",0,"Netral"
"495","southgate   trents biggest fan",0,"Netral"
"496","ben white   england starter  cb undoubtedly   reason  isnt   hes  g",0,"Netral"
"497","tbf  dont even know   bothering conversing   atb formation  southgate ",-1,"Negatif"
"498","southgate  maguire duo trophy pic  going  hit  tl like crack cocaine like  s  america",2,"Positif"
"499","reece james news isnt even  shocking southgate sucks",-2,"Negatif"
"500"," lot  fun crying  southgates squad choices   th time though",1,"Positif"
"501"," dier starts ill send southgate diss tracks",-1,"Negatif"
"502","world cup selection headaches  gareth southgate   quest  pick  final man squad  englandi dont e",-1,"Negatif"
"503","southgate needs  go man   doesnt take madders",0,"Netral"
"504","lmao youre missing  point  isnt        works   english setu",1,"Positif"
"505"," now confirmedno world cup  reecetough blow     correct call  gareth southgate discusse",0,"Netral"
"506"," now confirmedno world cup  reecetough blow     correct call  gareth southgate d",0,"Netral"
"507","u reckon thats crazy  yh      kane foden  bellingham  ",-1,"Negatif"
"508","   match fit kalvin phillips goes instead  maddison southgates lost  mind",-1,"Negatif"
"509"," southgate  spot   grealish just like southgate  spot   sanchoits almost",1,"Positif"
"510","respect  southgate  making  good decision   ",2,"Positif"
"511","rare w southgate",0,"Netral"
"512","looking forward  first session tomorrowvenue southgate school tuesday pm",0,"Netral"
"513","god  disgusting  gareth southgate   tried   hague   want  also",-1,"Negatif"
"514","southgate went",0,"Netral"
"515","idfind  spot  foden left  right id  building  team around   ",1,"Positif"
"516","graham potter  gareth southgate given raheem sterling advice amid chelsea form  world cup",0,"Netral"
"517","doubt  southgate just doesnt trust himhas  chance  james isnt fit   assume trippier will play ",0,"Netral"
"518","delighted  dont pick wilson hes quality  keep    toon    qualityundo",1,"Positif"
"519","taa  world class   southgate  like  choc teapot  wont ",1,"Positif"
"520"," dont get  hes representing  country  southgate",0,"Netral"
"521"," dont particularly think foden   natural winger    played  best football",1,"Positif"
"522","   lot  results  meant england got  easier route  fact southgate isnt tactical",1,"Positif"
"523","good southgate  take back everything  said  ",1,"Positif"
"524","cant lie hed cook   inside forward   left  kane dropping deep  southgatesimila",-1,"Negatif"
"525","first respectable thing  southgate man  done",1,"Positif"
"526","  irrelevant   say anyway coz southgate will start   revolutionary new backformation",0,"Netral"
"527","exclusive  jordan pickford   relationship  gareth southgate",0,"Netral"
"528"," maddison      team   completely fucked  injuries last season   relegation favourite th",0,"Netral"
"529","good  southgate   risk reece icl",0,"Netral"
"530"," great form hes     talking   hasnt come   position ",1,"Positif"
"531","congratulations  sub officer grant andrea   retired afteryears service     presented   re",1,"Positif"
"532","howsons clearly bang  england  shite  watch everyone knows   ",1,"Positif"
"533","id go  southgate usmnt doesnt    talent pool  select  southgate will make t",1,"Positif"
"534","lool southgate   right thing  ",1,"Positif"
"535","southgate good decision",1,"Positif"
"536"," dey die southgate  rather play sancho",-1,"Negatif"
"537","also southgate  course  plainly obvious  anybody watching  pulisic     time  th",0,"Netral"
"538","  like england  making  far   world cup  begin   southgate",1,"Positif"
"539"," will   like    press conference thursday pm  think southgate usually tells players w",1,"Positif"
"540","ridiculous wave ur job goodbye southgate",-1,"Negatif"
"541"," arsed   world cup currently  im definitely going  pick southgates squad apart",0,"Netral"
"542","southgate just saved  career    glad",1,"Positif"
"543"," deserves  spot   threeman midfield  southgate will play asadly",0,"Netral"
"544","  philips   team funny team  southgate  carra",-1,"Negatif"
"545"," name  gareth southgate",0,"Netral"
"546","southgate backterorrism fairs",0,"Netral"
"547","southgate making  good decision   rest  recover reece",2,"Positif"
"548","southgate needs  start  iwl",0,"Netral"
"549"," obviously southgate   favourites",0,"Netral"
"550","southgate   absolute clone",0,"Netral"
"551","thats coming regardless  first decent team  meet     southgate  ",1,"Positif"
"552","southgate saving james career",0,"Netral"
"553","marcus rashford harry maguire  luke shaw  expected   called   southgate   england world cup",0,"Netral"
"554","new estate teresa conlonsouthgate london n",0,"Netral"
"555","southgate made  smart decision  ",1,"Positif"
"556","southgate   awful manager   least  seems  try ",-1,"Negatif"
"557","  rashford done  warrant  startsouthgate dont even rate ",0,"Netral"
"558","gareth southgate needs  give reece james     last minute  prove  fitness best rb   count",1,"Positif"
"559","probably trippier  walker  trent especially  southgate",0,"Netral"
"560","  blessing  disguise southgate leaving   wc madders defo leaving leicester soon  will develop m",1,"Positif"
"561","give southgate  contract extension expeditiously",1,"Positif"
"562","  know  reece wouldve carried england   wc anyway    means   one step closer  southgate",0,"Netral"
"563","smart  southgate",1,"Positif"
"564"," simple fact   wed   manager like mancini instead  southgate  charge   squad ",1,"Positif"
"565","nah gareth cant  taking injured players againpragmatic southgate will get crucified  james",0,"Netral"
"566","thx southgateits   good decision  heard  ",1,"Positif"
"567","good job southgate",1,"Positif"
"568","just put     role   will bang   goals   problem  southgate always picks mount  pl",-1,"Negatif"
"569"," england medical team deemed  unfit  play  southgate sent  home    b",-1,"Negatif"
"570","merci southgate",0,"Netral"
"571","happy  take kalvin phillips  doesnt even play regardless   injured  wont take  ri",1,"Positif"
"572","brazil takesdefenders southgate takes  minimal ",0,"Netral"
"573","reece james   told hes  going   world cupsouthgate delivered  news  saying   afford",1,"Positif"
"574","ivan toney will hope   follow   nonexistent england footsteps  grant holt",-1,"Negatif"
"575"," southgate  chance",0,"Netral"
"576","southgate  taking rj",0,"Netral"
"577","southgate now  time  fully recover",1,"Positif"
"578","feel sad  reece james honestly  yeah southgate just cant rush  back  injury",-2,"Negatif"
"579","im fucking gutted  reece obviously   honestly  best thing   injury wise southgate  taking hi",0,"Netral"
"580","   riots   streets cities  burn southgate  blood   hands",-1,"Negatif"
"581","southgate will  gone  two months   will  wonderful",1,"Positif"
"582"," one lb jamie although knowing southgate well probably play atb   might use saka  l",1,"Positif"
"583","devastating    well done  southgate actually making  good decision",1,"Positif"
"584","right decision  cant help  feel  southgate  expected  managed  poorly let h",0,"Netral"
"585","southgate mightve saved  career low key",0,"Netral"
"586","watch southgate play mount ahead  madison",0,"Netral"
"587"," southgate knew ball    ",0,"Netral"
"588","reece james    world cup martin liptonhas  told today  southgate wont take  risk o",-1,"Negatif"
"589","im still  sure   worse southgate  berhalter",-1,"Negatif"
"590","  catch southgate",0,"Netral"
"591","gareth southgate  decided  taking ",0,"Netral"
"592","hes   playing  best   southgate  likely  take maguire  probably  injured",1,"Positif"
"593"," ridiculous walker tomori  stoneswhite   starting  cb southgate will  gone   wc",-1,"Negatif"
"594"," current form   go     think will go   southgate will pick southgate willtake sancho",0,"Netral"
"595","  problem  southgate   terrorist football",-1,"Negatif"
"596","maguire still isnt  good defender  just  less    england cause hes protected   two ho",2,"Positif"
"597","first good thing southgate  done",1,"Positif"
"598","personal message  gareth southgate",0,"Netral"
"599","   best decision   seen  southgate",1,"Positif"
"600","breakingreece james   told hes  going  theworld cupgareth southgate rang reece james t",0,"Netral"
"601"," form yes   international tournament  southgate values  old reliable guard  chance  starts",1,"Positif"
"602","im glad southgate  decided   felt   irresponsible  james  potential",0,"Netral"
"603","rare w  southgate tho",0,"Netral"
"604","breaking news gareth southgate  decided   call  recce james   world cup",-1,"Negatif"
"605","breaking gareth southgate  decided   take  gamble  taking s reece james  theworld",-1,"Negatif"
"606","southgate finna start shaw  taa  world cup cant wait  iran  cook ",0,"Netral"
"607","will southgate playat  back  aat  back",0,"Netral"
"608","starting sterling  front  saka   political agenda  said indont want  boy running  legs o",0,"Netral"
"609"," im expecting southgate  go ",0,"Netral"
"610","     fucking next level deluded  think england  winning   southgate will mo",-1,"Negatif"
"611","right thing   even   unfortunatesouthgate    brain  ",1,"Positif"
"612","yet another reason     excited   lionesses  southgates bores theyre  focused  w",0,"Netral"
"613","andy southgate  terrible  passion  style just  old  old  stop feeling gutted  change  badly needed",-1,"Negatif"
"614","southgate  saving james career",0,"Netral"
"615"," really like barnes  southgate clearly doesnt    loads  players id  picking",2,"Positif"
"616","southgate  really  guy",0,"Netral"
"617","will   bumpy times  worth  risk taking   think     good coachmanager may",0,"Netral"
"618","theres literally zero hype  england   world cupsouthgate  single handedly broken  divided  nation go",-2,"Negatif"
"619","feel  bad    southgate decision  right",0,"Netral"
"620"," just thought may aswell put   coz theres  change  southgates mind     ",0,"Netral"
"621"," can kalvin phillips go   world cup   hasnt kicked  ball  months pointless taking phillips hender",-1,"Negatif"
"622","solid solid team except southgate  pussy  will play  back",2,"Positif"
"623","good decision  southgate",1,"Positif"
"624","southgates saved  career",0,"Netral"
"625","james got nothing  lose   like england  gonna win  world cup  southgate   charge",1,"Positif"
"626","tbf  clicked   article   defo  click baity linesouthgate says  box office appea",0,"Netral"
"627","gareth southgate  decided   take  gamble  taking s reece james  theworld cupsou",0,"Netral"
"628"," good thing southgate  done   managerial career",1,"Positif"
"629"," love southgate",1,"Positif"
"630"," already knew     wasnt waiting  southgate",0,"Netral"
"631"," think  offers   mount  mount   versatile  southgate loves ",2,"Positif"
"632","means southgate     chance  get  sack",-1,"Negatif"
"633","best bit  management southgate  ever done",1,"Positif"
"634","gareth southgate rang reece james  deliver  bad news  person telling     afford  take  risk",-1,"Negatif"
"635","meguire cos  know southgate will take   maguire cos   take ",0,"Netral"
"636","good southgate might  save  career",1,"Positif"
"637","good choice  southgate got  options  allows reece  rest",1,"Positif"
"638","maddison doesnt fit  team simple  just cos hes hit  bit  form doesnt mean   go h",0,"Netral"
"639","theres literally zero hype  england   world cupsouthgate  single handedly broken  divided ",-2,"Negatif"
"640","breaking reece james   given  devastating news  england boss gareth southgate   world cup dream   martin lipton",-2,"Negatif"
"641","idk  maddison id take     starting ahead  mount   starting  sterling sak",0,"Netral"
"642","whites best position isnt even centre back plus maguires england proven play white   already win",3,"Positif"
"643","name   history books englands cup runs might  worldwide b",0,"Netral"
"644","maguire coady stones rashford  grealish christ southgate    absolutely clueless  dog shit",-2,"Negatif"
"645","  fuck   toney guy       england squad im afraid   coming home  least  ",-2,"Negatif"
"646","id like nothing      gonna win  wanna      southgate way possible",2,"Positif"
"647","hopefully southgate will let go   backcause england definitely   chance despite  recent poor form",-1,"Negatif"
"648","southgates  guy   know   hope  plays maguire   midfield three  rice phillips bell",0,"Netral"
"649","  go  watching nigeball  watching southgate ball",0,"Netral"
"650","usa manager gives gareth southgate verdict ahead  world cuprivalry",0,"Netral"
"651","gareth southgate seeing james maddison putting  another man   match performance",0,"Netral"
"652","people write southgate  every time  even though   major doubts       well",0,"Netral"
"653","nobe southgate squad ai",0,"Netral"
"654","southgate na idiot",-1,"Negatif"
"655","errm   forgetting maguire  lack  match fitness  sluggish pace  essential  southgates defence",-2,"Negatif"
"656"," england team    good enough  give france   good game maybe even   favourites",3,"Positif"
"657","trent shouldnt   will return feeling shattered southgate doesnt trust   whats  business ",1,"Positif"
"658","things heat upanddo  think england  progressed  southgate",0,"Netral"
"659","southgate  rather   sick james  ben white lol",-1,"Negatif"
"660","maddison doesnt get  look   doesnt fit  system  southgate isnt  good enough manager  th",2,"Positif"
"661"," euros didnt expose  levels liverpool made  look  opposite  bad last sea",-1,"Negatif"
"662","tyrone mings amp harry maguireone just beat man utdwhilst   couldnt get   utd xiguess ",0,"Netral"
"663","waking     watch southgates england yuno long",0,"Netral"
"664","frank   southgate going   sacked hint hint",0,"Netral"
"665"," jack bridge isnt   plane  qatar  southgates got   sacked hasnt ",0,"Netral"
"666","  good   squad  defense  start  southgate using back three     choic",1,"Positif"
"667","missing person   seen yo nyala pierre  last seen onnearsouthgate boulevard  north lauderda",0,"Netral"
"668","sky keeps using  worst photo  southgate ive ever seenhurr hurr hurr enghhrlund",-1,"Negatif"
"669"," final  never  reached penalties  scored afterminutes  southgate chose  try ",0,"Netral"
"670","assuming southgate goes  aid go  pickford trippier walker stones maguire",0,"Netral"
"671","tomori  definitely   ahead  guehi  im  sure southgate agreesgiven   fou",0,"Netral"
"672","listen   bro  clearly know   coach better  southgate  manager ",2,"Positif"
"673","southgate   bitch id  doesnt take  guy madders",-1,"Negatif"
"674","qatar world cup ambassador beckham  earnmillion  ten years    outrage   bbc  press",-1,"Negatif"
"675","sorry  say   southgate leaves maddison   takes maguire  trent  ive already lost faith",-1,"Negatif"
"676","  southgate  cocomms",0,"Netral"
"677","  chance boring southgate picksattackers jamie gonna   long run   christmas id say",-1,"Negatif"
"678","long   can  agree southgate  crap",-1,"Negatif"
"679","   back   pitch   next week     importance   t",0,"Netral"
"680","  southgate  charge  half decent team  fancy beating us tbh",2,"Positif"
"681","banditossouthgate house revival newport ky",1,"Positif"
"682","gary southgate",0,"Netral"
"683"," southgate  charge well  lucky  make  top",3,"Positif"
"684","without doubt  southgate   clown",-1,"Negatif"
"685","im   going  stand  another southgate gp better start connecting   club rather  t",1,"Positif"
"686","lets  honest southgate  going  start maguire   lacking  sort  match fitnesssharpness ahead  everyone",0,"Netral"
"687","dont want southgate anywhere near  anyway",0,"Netral"
"688","sterling right now    top player     southgate  wont select  ",2,"Positif"
"689","now   england squad    southgatenoticeable selectionsinben whitetomoriwilsonmaddis",0,"Netral"
"690","southgate needs timetime  science  develop brain transplants   can get  clue",0,"Netral"
"691","breaking gareth southgate  already finalised  man squad   world cup  made personal checks ",-1,"Negatif"
"692","gareth southgatewho inexplicably  na vely believes  workers  qatar  support",1,"Positif"
"693","gareth southgatewho inexplicably  na vely believes  workers  qatar  supp",0,"Netral"
"694","  one english player   never played  england    think   called   gareth sout",0,"Netral"
"695","argentina hahaha bro  feel like  finally coming home  southgate get  shit together",0,"Netral"
"696","still time  southgate  announcein  wc squad thursday",0,"Netral"
"697","agreed southgate  done  good job  terms  bringing  play",1,"Positif"
"698","southgate  example  necessarily ",0,"Netral"
"699","southgate playing maguire  dier   back  saka  lb",0,"Netral"
"700","southgate   worse  lampard imo",-1,"Negatif"
"701"," might  managers available  world cup southgate etc",1,"Positif"
"702","give southgate  ring  let  know chuba    plane",0,"Netral"
"703","wont take maddison southgate  boring doesnt want flair players thats  doesnt play grealis",-2,"Negatif"
"704","didnt know trent boycotted qatar thought southgate thought  wasnt good enough   squad",2,"Positif"
"705","looks really lackadaisical   games maybe saving energy   wc already mentioned southgate ",-1,"Negatif"
"706","southgate just pick  players  played well     past  never picks  form",1,"Positif"
"707","   massively overlooked kind    sight   mind dont see  southgate  justify taking maguire  ",0,"Netral"
"708","roll   world cup   can call  southgates head    weeks instead  richardsons",0,"Netral"
"709","justin  thought    gareth southgates man initial pool  playersbut  qatar dream looks   ",0,"Netral"
"710","robinson   awful turned back   mong   couple  seasons agoneed world cup  s",-1,"Negatif"
"711","southgate  wiser  potter   calling rlc",0,"Netral"
"712","tite  brazilian southgate",0,"Netral"
"713","madders    contender   pfa poty  southgate still wouldnt pick ",0,"Netral"
"714","southgate far  negativedefensively  poor  imo   way  get   latter stages  ",-1,"Negatif"
"715","taxis  southgate  town andfrom sandton  town   dramatic",0,"Netral"
"716","southgate gotta  one   worst england managers ever  weve   ",-1,"Negatif"
